alpha,wealth
0.916,19108668475644.703
0.917,18300202337484.55
0.918,17521117961710.547
0.919,16770553699085.512
0.92,16047664954087.723
0.921,15351624163454.516
0.922,14681620760491.203
0.923,14036861125671.494
0.924,13416568524059.975
0.925,12819983030084.83
0.926,12246361440183.512
0.927,11694977173844.682
0.928,11165120163560.76
0.929,10656096734205.848
0.93,10167229472345.156
0.931,9697857085978.78
0.932,9247334255214.094
0.933,8815031474357.71
0.934,8400334885906.563
0.935,8002646106916.652
0.936,7621382048211.209
0.937,7255974726891.684
0.9380000000000001,6905871072598.2295
0.9390000000000001,6570532727963.0625
0.9400000000000001,6249435843687.408
0.9410000000000001,5942070868665.35
0.9420000000000001,5647942335567.326
0.9430000000000001,5366568642286.701
0.9440000000000001,5097481829642.109
0.9450000000000001,4840227355718.319
0.9460000000000001,4594363867218.59
0.9470000000000001,4359462968189.5977
0.9480000000000001,4135108986470.8457
0.9490000000000001,3920898738208.363
0.9500000000000001,3716441290763.1206
0.9510000000000001,3521357724332.412
0.9520000000000001,3335280892592.3477
0.9530000000000001,3157855182658.5273
0.9540000000000001,2988736274651.05
0.9550000000000001,2827590901139.297
0.9560000000000001,2674096606730.301
0.9570000000000001,2527941508055.386
0.9580000000000001,2388824054397.1787
0.9590000000000001,2256452789189.5747
0.9600000000000001,2130546112612.5598
0.961,2010832045493.1492
0.962,1897047994713.224
0.963,1788940520315.5952
0.964,1686265104488.586
0.965,1588785922600.3467
0.966,1496275616443.994
0.967,1408515069845.1145
0.968,1325293186774.105
0.969,1246406672095.953
0.97,1171659815082.0767
0.971,1100864275798.8884
0.972,1033838874480.1602
0.973,970409383981.1643
0.974,910408325404.8005
0.975,853674766981.8079
0.976,800054126279.4126
0.977,749397975805.3142
0.978,701563852066.6886
0.979,656415068136.6338
0.98,613820529773.8467
0.981,573654555134.7596
0.982,535796698110.8213
0.983,500131575317.6133
0.984,466548696756.6768
0.985,434942300165.0881
0.986,405211189062.5112
0.987,377258574500.25696
0.988,350991920511.88983
0.989,326322793260.14935
0.99,303166713870.4933
0.991,281443014937.25385
0.992,261074700684.24738
0.993,241988310757.9625
0.994,224113787627.61496
0.995,207384347563.07428
0.996,191736355158.27393
0.997,177109201364.82385
0.998,163445184997.5536
0.999,150689397671.1551
1.0,138789612124.56653
